question,document
Is there a form-based no-code way to create workflows in Kestra instead of using drag-and-drop or editing YAML?,bfe5502c30
"How does the AI Copilot in Kestra help create a flow from plain English, and can I keep editing it after that?",bfe5502c30
"Can I use tools like Claude Code, Codex, or Kestra CTL to generate a workflow and send it to Kestra directly from my editor?",bfe5502c30
"If I only need a simple automation like sending a Slack message when a YouTube video is published, should I use Kestra or something like Zapier or n8n?",bfe5502c30
"Why does ChatGPT sometimes invent Kestra plugin fields like `bucket` or `name` when I ask for a flow, and how do I stop that from happening?",93a3e8b98c
How can I check that a Kestra YAML generated by an AI matches the actual plugin schema for my version?,93a3e8b98c
"For the GCS upload plugin, why is `to` the right field instead of separate `bucket` and `name` values?",93a3e8b98c
"In the BigQuery load task, why do I need `destinationTable` instead of `projectId`, `dataset`, and `table` as separate properties?",93a3e8b98c
What’s the safest way to use AI-generated Kestra flows without ending up with invalid YAML that only looks correct?,93a3e8b98c
Why do we bother tracking token usage in Kestra flows when the LLM call already works fine?,a4adc70f41
How does watching token counts help with controlling costs in a scheduled or looping workflow?,a4adc70f41
"Can token usage numbers help me improve my prompts, and if so, how?",a4adc70f41
What are the guardrails for stopping a Kestra flow from accidentally running up a huge bill?,a4adc70f41
"Where do I get the token usage info from in an AI task response, and how can I show it in logs or dashboards?",a4adc70f41
"Why does Docker Desktop say ""mounts denied"" when I run Kestra, and how can I allow that folder to be mounted?",dd8b4c9fda
What should I do if Docker complains that the host path under /tmp is not shared when starting a container?,dd8b4c9fda
How do I add /tmp or /tmp/kestra-wd to Docker Desktop so my compose setup works again?,dd8b4c9fda
"After getting the ""path is not shared from the host"" error, where in Docker Desktop do I enable file sharing for that directory?",dd8b4c9fda
"Once I fix the Docker file-sharing setting, what do I need to restart or rerun to bring Kestra back up?",dd8b4c9fda
"For the Module 3 Kestra homework, what exactly am I supposed to upload if I did everything in the Kestra UI and not in a code editor?",f29f622684
"Do I need to submit the actual Kestra flow YAML files, or is a screenshot / form answers enough for homework 3?",f29f622684
Where should I put the Kestra homework files in my repo before sending the submission link?,f29f622684
"If my Kestra flows call any scripts, should those scripts be included in the repo too?",f29f622684
"Does the homework repo need a README, or can I just make the flow files public and submit the link?",f29f622684
Why do I get `JSONDecodeError: Expecting value` when I call `json.loads()` on the LLM response?,a3c7e1b4f9
How can I make the model return only valid JSON when generating ground-truth questions?,a3c7e1b4f9
Is there a way to force OpenAI chat completions to output a JSON object instead of prose or a code block?,a3c7e1b4f9
What should I put in the prompt so the LLM gives me exactly a `questions` list with 5 strings?,a3c7e1b4f9
"Does this JSON-output fix work only with OpenAI, or do other providers have something similar?",a3c7e1b4f9
Why does my Jupyter kernel keep crashing when I try to embed the ground-truth set in the evaluation notebook?,b8f2d6a30c
Is there a lighter embedding model I can use instead of the default one so my notebook doesn’t run out of memory?,b8f2d6a30c
"If my laptop or Codespaces VM has low RAM, what’s the best way to handle the embedding step without crashing the notebook?",b8f2d6a30c
Can I do the ground-truth embeddings in a separate Python script and then bring the saved vectors back into Jupyter?,b8f2d6a30c
"Does processing the eval set in batches help with memory issues, and do I need to rerun the evaluation metrics after changing the embedder?",b8f2d6a30c
Why am I still getting rate-limited in Gemini even after adding a 4-second sleep between requests?,c1e9f4b820
What should I do if my long tqdm loop keeps failing on the free Gemini tier because of quota limits?,c1e9f4b820
Is there a cheaper or easier API option for generating the whole ground-truth dataset instead of Gemini free tier?,c1e9f4b820
How can I reduce rate-limit problems when using a thread pool to call the model in parallel?,c1e9f4b820
What’s the best way to avoid losing progress if my dataset generation gets interrupted by API limits?,c1e9f4b820
How do I fix WinError 126 when Python says it can’t load fbgemm.dll on Windows?,15e931476c
I’m getting an OSError about torch\lib\fbgemm.dll missing a module in Windows — what should I install?,15e931476c
Does this fbgemm.dll error mean I need Visual C++ Redistributable or Visual Studio on my PC?,15e931476c
"Why does PyTorch fail with ""The specified module could not be found"" on Windows, and what’s the workaround?",15e931476c
I have the torch fbgemm.dll dependency error on Windows 10/11 — is installing Visual Studio Code enough or do I need the full Visual Studio?,15e931476c
"Why am I getting an OperationalError in `prep.py` saying it can't translate host name `postgres`, and what should I change to make it work?",4b65d5542d
"My `psycopg2` setup fails with `could not translate host name ""postgres"" to address`; is there a config I need to update?",4b65d5542d
"When I run `python prep.py`, it crashes with a PostgreSQL host error for `postgres` — how do I fix the connection settings?",4b65d5542d
"In Module 5, what should I put in my `.env` file if `prep.py` says `No such host is known` for `postgres`?",4b65d5542d
How do I resolve the database host error from `python prep.py` and connect to PostgreSQL locally?,4b65d5542d
How do I make Pandas show the full text in a column instead of cutting it off with ...?,641aedbbf5
"In the offline rag evaluation notebook, how can I see the full Explanation from the judge LLM in Pandas?",641aedbbf5
What Pandas setting changes the max column width so long text is displayed completely?,641aedbbf5
"Why does Pandas only show about 50 characters in a text column, and how do I disable that?",641aedbbf5
What code do I need to run so the entire Explanation column content is visible in the LLM-as-judge section?,641aedbbf5
How do I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What's the easiest way to normalize each vector in a Pandas Series?,5039707c1a
How can I create a new column with normalized vectors from an existing one in pandas?,5039707c1a
Is there a simple lambda for normalizing vector values in a DataFrame column?,5039707c1a
How do I divide each vector by its norm for a pandas column?,5039707c1a
How do I get the 75th percentile for a column in a pandas DataFrame?,b4c8ac5a0c
What’s the simplest way to calculate the 0.75 quantile of a pandas Series?,b4c8ac5a0c
How can I find a percentile value from a DataFrame column using pandas?,b4c8ac5a0c
Is there a pandas method to compute quartiles or quantiles for one column?,b4c8ac5a0c
How do I extract the 75% percentile from df['col'] in pandas?,b4c8ac5a0c
"How do I delete every Docker container from the terminal, even the ones that are still running?",66ccbb7da0
What’s the command to force-remove all Docker images at once?,66ccbb7da0
How can I clear out all Docker volumes using the command line?,66ccbb7da0
"Is there a quick way to wipe all containers, images, and volumes in Docker from terminal commands?",66ccbb7da0
How do I clean up my Docker setup and remove everything with one terminal session?,66ccbb7da0
How can I make sure a user can only leave feedback once per submission in Streamlit?,2e729f1271
Why does `st.session.submitted` keep turning back to True even after I press +1 or -1?,2e729f1271
How do I disable the feedback buttons after the ask button is used in a Streamlit app?,2e729f1271
What is the fix for session state getting reassigned in Streamlit when tracking submission feedback?,2e729f1271
Is there a known solution for `st.session.submitted` being reset after one feedback button is clicked?,2e729f1271
"Why do I get ""streamlit: executable file not found in $PATH"" when I start my app with docker-compose, even though it works normally outside Docker?",e8df9f0d12
What should I check first if docker-compose fails to create the container for my Streamlit app with an OCI runtime error?,e8df9f0d12
"Do I need a Dockerfile for a Streamlit app that I want to run with docker-compose, or can I just use the compose file?",e8df9f0d12
How do I fix the issue where docker-compose says it cannot find the streamlit command inside the container?,e8df9f0d12
"After changing my Docker setup for a Streamlit app, what is the right command to rebuild everything and start it again?",e8df9f0d12
"Can the capstone be done in a team, or does each student need to submit their own project?",0fab61eca2
"If I work with classmates on one idea, is that still okay for the capstone?",0fab61eca2
Can multiple people build the same system for the project as long as we split the work somehow?,0fab61eca2
What counts as an independent capstone submission if the idea was shared with others?,0fab61eca2
"Does the project have to be fully separate, or can parts of it overlap with someone else's work?",0fab61eca2
"Do we need to turn in two capstone projects, or is one enough?",d5fc98925d
What do attempt 1 and attempt 2 mean for the capstone submission?,d5fc98925d
"If my first project submission gets rejected, can I fix it and send it again later?",d5fc98925d
"Can I submit a second project just for practice, and if so, does it need a different dataset and problem?",d5fc98925d
"If I miss the first submission window, can I still submit in the second one and count it toward certification?",d5fc98925d
"Is the competition considered the capstone project for this course, or is it separate?",e892d44e42
Can I use the competition entry as my capstone submission?,e892d44e42
"If I join the math-kaggle-llm competition, does that replace the capstone requirement?",e892d44e42
Are team entries allowed for the competition even though the capstone is individual?,e892d44e42
Do I have to do the capstone on my own if I also want to take part in the competition?,e892d44e42
How will the capstone projects be graded in the end?,9a2e2d2008
Who reviews a submitted capstone project?,9a2e2d2008
Do I need to score other students’ capstone projects too?,9a2e2d2008
What happens if I don’t take part in the peer grading process?,9a2e2d2008
Is the final capstone grade based on all the reviews or some other score?,9a2e2d2008
When do we get the projects for review and grading?,eae0fb50aa
How are the projects assigned to each participant after the deadline?,eae0fb50aa
Will the review assignments be sent out right after submissions close?,eae0fb50aa
How many projects will each person have to grade?,eae0fb50aa
What format will the project assignment list be shared in?,eae0fb50aa
"I already submitted my capstone project, so why am I still unable to review other projects?",a8a7fef016
When do the project reviews get assigned after the submission deadline is over?,a8a7fef016
Can I pick which capstone projects I want to evaluate myself?,a8a7fef016
Why don’t I see any projects available for review yet?,a8a7fef016
Is it normal that I can’t start reviewing before the project list is released?,a8a7fef016
Where can I find project ideas and datasets for the capstone project?,e76a70cde3
Is there a page with some good dataset ideas I can use for this project?,e76a70cde3
I’m looking for inspiration for the capstone project — do you have a link with ideas and datasets?,e76a70cde3
"Where should I look for tips, guidelines, and possible datasets for the project?",e76a70cde3
Can you point me to a GitHub page that lists project ideas and datasets for the capstone?,e76a70cde3
"Do I actually need Airflow, Mage, or Kestra for the capstone project, or is a simple Python script enough?",d4f7c08ea1
"Can I just use a Jupyter notebook for the ingestion pipeline part of the capstone, and how does that affect the points?",d4f7c08ea1
What counts as enough for the ingestion pipeline criterion in the capstone project?,d4f7c08ea1
"Should I add an orchestration tool to my capstone only to get more points, or is that unnecessary?",d4f7c08ea1
When would it make sense to use an orchestrator in the capstone project instead of just plain Python?,d4f7c08ea1
How can I evaluate a recommender-style RAG project when I don't have obvious ground-truth Q&A pairs?,9b0e2d6a47
What’s a good way to create synthetic test queries for retrieval evaluation in a recommender system?,9b0e2d6a47
Can I use an LLM as a judge to score the quality of my RAG answers end to end?,9b0e2d6a47
"Which metrics make sense for ranking-style RAG problems: hit rate, MRR, or NDCG?",9b0e2d6a47
Why would NDCG be better than hit rate if multiple retrieved items could all be acceptable?,9b0e2d6a47
How should I chunk a huge PDF corpus for my RAG project without overthinking it first?,6f2a8b3d10
Is it better to start with simple fixed-size chunks or try LLM-based section splitting right away?,6f2a8b3d10
"Should I add summaries to each chunk, and does that actually help retrieval?",6f2a8b3d10
"For legal or financial docs, when does hybrid search make more sense than only dense embeddings?",6f2a8b3d10
What tools can I use to turn PDFs into cleaner markdown before I chunk them?,6f2a8b3d10
"In the capstone project, what does reproducibility actually mean for reviewers?",e5d8a2c761
Do I need to put my API keys or hosted-service credentials in the repo so someone can run my project?,e5d8a2c761
How should I let a reviewer recreate the search index or rebuild the project from scratch?,e5d8a2c761
"What should I include in a .env.example file, and should my real .env be committed?",e5d8a2c761
How can I make sure reviewers can run the project cheaply without wasting their own credits?,e5d8a2c761
"Is it okay to do the homework or capstone in something like JavaScript, Go, Rust, Java, Scala, C#, or R instead of Python?",ea815eb858
"Do I have to use Python for all assignments and the final project, or can I pick another stack if I really want to?",ea815eb858
"If I submit the project in a non-Python language, what should I put in the README so the reviewer can run it?",ea815eb858
How detailed do the install and run instructions need to be for a project that isn’t written in Python?,ea815eb858
"Would a project in Go be acceptable, and if so, what kind of commands should I include to make it easy to reproduce?",ea815eb858
Where do I see old LLM Zoomcamp capstone project submissions?,930286278d
Is there a page with past projects from the 2024 LLM Zoomcamp?,930286278d
Can I check 2025 LLM Zoomcamp project examples somewhere?,930286278d
Where can I look at submitted repos from previous Zoomcamp projects?,930286278d
Do you have links to earlier capstone project examples for this course?,930286278d
Do I need to reserve my capstone project idea before I start working on it?,897a350476
Should I announce my project topic somewhere before building it?,897a350476
"Can I ask for feedback on my project idea in Slack, or is that only for finished projects?",897a350476
Is it okay if my capstone topic is similar to someone else’s as long as I build it differently?,897a350476
Where can I look at past LLM Zoomcamp projects to judge the right scope for my own idea?,897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a website?,7318a90b14
"Is a web app required for the project, or can I use a CLI or Slack app too?",7318a90b14
Do I have to follow any strict rules about how users access the capstone project?,7318a90b14
"If I choose a notebook or some other interface, is that acceptable for the final project?",7318a90b14
"Will the course show me how to make the interface, or do I need to handle that part myself?",7318a90b14
"What are some good tools to pull text out of PDFs for a RAG app, especially if the files are messy or scanned?",d8b28c47a0
"If my PDFs are actually images, do I need OCR, and which OCR tool is worth trying first?",d8b28c47a0
"Should I just use the tool the course recommends for document extraction, or can I pick my own based on my data?",d8b28c47a0
What’s a decent way to get PDFs into Markdown or JSON for a retrieval project without too much cleanup?,d8b28c47a0
"For scanned documents, is there a simple local option instead of using a hosted OCR API?",d8b28c47a0
"Can I reuse the workshop material in my own capstone project, or is it only for the class?",d850a0e7ea
"Since dlt is open source, does that mean I’m allowed to use this workshop content in other projects too?",d850a0e7ea
"Can I take what I learned here and apply it to a different Zoomcamp project, like MLOps?",d850a0e7ea
Is it okay if I share the workshop content with others or use it as part of my own work?,d850a0e7ea
"What’s the intended use of this workshop material — just learning, or can I actually build with it?",d850a0e7ea
How do I start a fresh dlt project for loading data from cloud storage?,6bceeebf04
What command should I run to initialize a filesystem-to-duckdb dlt setup?,6bceeebf04
I'm trying to set up dlt for cloud loading — what's the first terminal command?,6bceeebf04
How do I create a new dlt project using filesystem and duckdb?,6bceeebf04
Where should I begin if I want to bootstrap a dlt ingestion project from cloud files?,6bceeebf04
"Why do I get `Table notion_pages___homework does not exist` when I try to open it with `db.open_table(""notion_pages___homework"")`?",0407213397
"I already changed the table name to `notion_pages___homework`, but I still see a `FileNotFoundError` — what else could be wrong?",0407213397
What setting did I forget to update if my dlt pipeline is still looking for `employee_handbook` instead of `homework`?,0407213397
How can I fix the issue where the pipeline says I need to call `db.create_table(...)` for `notion_pages___homework`?,0407213397
"If my homework table isn't found, is it because some `employee_handbook` references are still left in the pipeline config?",0407213397
Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I run `main()`?,e95bfafc0e
"How can I fix the error about `db.create_table(notion_pages___homework, data)` not finding the table?",e95bfafc0e
"In the dlt workshop homework, what table name should I open on line 3?",e95bfafc0e
"If `notion_pages___homework` is missing, what should I change in the code to make `main()` work?",e95bfafc0e
"Why is my script failing with a table-not-found message for `notion_pages___homework`, and what is the correct `db.open_table(...)` call?",e95bfafc0e
How can I list all the tables in the database?,e394e6f738
Is there a way to see which tables exist in the db?,e394e6f738
What method do I use to get the table names from the database?,e394e6f738
How do I check the tables available in my database?,e394e6f738
Where can I find the names of all tables in the db?,e394e6f738
"Does DLT already support ClickHouse or StarRocks connectors, or are they not available yet?",cd19f122f3
Can I use DLT to load data into ClickHouse or StarRocks right now?,cd19f122f3
Is there any built-in connector in DLT for ClickHouse and StarRocks?,cd19f122f3
Why isn't there a connector for ClickHouse or StarRocks in DLT yet?,cd19f122f3
"If DLT doesn't support ClickHouse or StarRocks, can the community add those connectors?",cd19f122f3
Why am I getting a 401 Unauthorized error when the notebook calls the Notion search API?,0dfba07ace
What should I check first if my notebook says it doesn't have secret access to api.notion.com/v1/search?,0dfba07ace
Could this Notion API unauthorized error be because my token is wrong or expired?,0dfba07ace
How do I fix permission or authentication issues with the Notion API in the workshop notebook?,0dfba07ace
"If the notebook can’t access Notion, what configuration or endpoint settings should I verify?",0dfba07ace
How can I install the newer requests version from the source when pip keeps giving me v2.28?,4b30b918bc
What pip command should I use to force requests v2.32.3 instead of the older release?,4b30b918bc
Is there a direct install URL for requests 2.32.3 if the normal install pulls the wrong version?,4b30b918bc
Why am I seeing a 401 Client Error while trying to set up lancedb with requests?,4b30b918bc
"What should I check if my key is getting a 401 error, and how do I get the right requests package version?",4b30b918bc
